script_file	language	purpose	related_figure_or_result	input_files	output_files	status	notes
03_code_package/figure_generation/figure_reconstruction_pipeline.py	Python	figure generation or figure QA	general/supporting			copied_available	source path: outputs/figure_reconstruction_pipeline.py
03_code_package/utilities/r1_r14_cli.py	Python	utility or manuscript-support script	general/supporting			copied_available	source path: outputs/reproducible_workflows/r1_r14_cli.py
03_code_package/model_comparison/add_model_evolution_map.py	Python	model comparison or latent-state-regime analysis	Figure 1A	final_claim_safe_main_text.md; final_claim_safe_main_text_with_model_lineage.md; model_evolution_map_caption.md; model_lineage_section.md	FINAL_FIGURE_LEGENDS.docx; FINAL_FIGURE_LEGENDS_WITH_MODEL_EVOLUTION.docx; FINAL_MANUSCRIPT_WITH_MAIN_FIGURES.docx; FINAL_MANUSCRIPT_WITH_MODEL_EVOLUTION_MAP.docx; MODEL_EVOLUTION_MAP_Figure1A.pdf; MODEL_EVOLUTION_MAP_Figure1A.png; MODEL_EVOLUTION_MAP_Figure1A.svg; final_claim_safe_main_text.md; final_claim_safe_main_text_with_model_lineage.md; model_evolution_map_caption.md; model_lineage_section.md	copied_available	source path: work/add_model_evolution_map.py
03_code_package/utilities/assemble_final_submission_package.py	Python	utility or manuscript-support script	general/supporting	SUPPLEMENTARY_SOURCE_DATA_INDEX.tsv; endnote_import_todo.md; final_claim_safe_main_text.md; final_submission_readiness_report.md; main_text_clean_version_causal_updated.md; supplementary_causal_closure_caption.md; unresolved_reference_list.md	FIGURE_CAUSAL_CLOSURE_FINAL.pdf; FIGURE_CAUSAL_CLOSURE_FINAL.png; FINAL_FIGURE_LEGENDS.docx; FINAL_MANUSCRIPT_WITH_MAIN_FIGURES.docx; Final_Figure_1_Phi_failure_latent_regime_replacement.png; Final_Figure_2_shared_accessibility_reannotated.png; Final_Figure_3_stemness_local_accessibility.png; Final_Figure_4_regime_conditioned_positional_information.png; Final_Figure_5_fate_lock_adult_repair_basin.png; Final_Figure_6_tumor_like_plasticity_distinct_branch.png; Final_Figure_7_single_Phi_rejection.png; SUPPLEMENTARY_MATERIAL.docx; SUPPLEMENTARY_SOURCE_DATA_INDEX.tsv; endnote_import_todo.md; figure_legend_final_standardized.docx; final_claim_safe_main_text.md; final_submission_readiness_report.md; main_text_clean_version_causal_updated.md; submission_ready_manuscript_causal_consistency_updated.docx; supplementary_causal_closure_caption.md	copied_available	source path: work/assemble_final_submission_package.py
03_code_package/scoring/build_emergent_regime_order_parameter.py	Python	model comparison or latent-state-regime analysis	general/supporting	W_GRN_learned.tsv; W_GRN_learned_state_axis_matrix.tsv	W_GRN_learned.tsv; W_GRN_learned_state_axis_matrix.tsv	copied_available	source path: work/build_emergent_regime_order_parameter.py
03_code_package/preprocessing/build_inventory.py	Python	utility or manuscript-support script	general/supporting			copied_available	source path: work/build_inventory.py
03_code_package/model_comparison/build_multi_regime_attractor_model.py	Python	model comparison or latent-state-regime analysis	general/supporting			copied_available	source path: work/build_multi_regime_attractor_model.py
03_code_package/utilities/build_natcomms_support_package.py	Python	utility or manuscript-support script	general/supporting		story_strengthening_output/manuscript_STORY_STRENGTHENED_ENDNOTE_SAFE.docx	copied_available	source path: work/build_natcomms_support_package.py
03_code_package/scoring/build_nonlinear_representation.py	Python	utility or manuscript-support script	general/supporting	/Volumes/T9/PGCS/publication/mechanistic_validation_20260605/perturbation_validation/perturbation_pgcs_validation.tsv; W_GRN_learned.tsv	/Volumes/T9/PGCS/publication/mechanistic_validation_20260605/perturbation_validation/perturbation_pgcs_validation.tsv; W_GRN_learned.tsv	copied_available	source path: work/build_nonlinear_representation.py
03_code_package/model_comparison/causal_closure_consistency_validation.py	Python	perturbation audit or causal-consistency support	Supplementary Figure 1	W_GRN_learned_sparse_edges.tsv; W_GRN_learned_state_axis_matrix.tsv; latent_regime_mixture_parameters.tsv; perturbation_cell_pgcs_scores.tsv; predicted_vs_observed_deltaS.tsv	W_GRN_learned_sparse_edges.tsv; W_GRN_learned_state_axis_matrix.tsv; latent_regime_mixture_parameters.tsv; perturbation_cell_pgcs_scores.tsv; predicted_vs_observed_deltaS.tsv	copied_available	source path: work/causal_closure_consistency_validation.py
